,1,10,100,101,102,103,104,105,106,107,108,109,11,110,111,112,113,114,115,116,117,118,119,12,120,121,122,123,124,125,126,127,128,129,13,130,131,132,133,134,135,136,137,138,139,14,140,141,142,143,144,145,146,147,148,149,15,150,151,152,153,154,155,156,157,158,159,16,160,161,162,163,164,165,166,167,168,169,17,170,171,172,173,174,175,176,177,178,179,18,180,181,182,183,184,185,186,187,188,189,19,190,191,192,193,194,195,196,197,198,199,2,20,200,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,97,98,99,SINK,SOURCE
48,6,5,3,2,9,0,5,1,5,3,3,2,1,2,9,2,2,5,4,4,2,1,3,2,4,2,3,5,0,4,4,5,2,3,3,5,6,7,5,2,1,5,2,7,2,5,4,3,4,1,3,9,4,1,3,1,3,5,3,8,3,4,1,5,3,2,1,5,1,1,10,1,4,1,1,7,3,3,5,8,5,5,5,4,1,4,5,5,0,7,2,7,1,2,2,2,3,4,5,4,3,3,4,2,0,1,4,4,2,4,0,2,3,1,3,1,3,2,3,6,7,4,5,5,1,1,6,5,3,5,6,0,3,5,5,6,3,2,5,3,9,2,2,5,7,3,6,4,1,6,5,3,4,3,2,1,3,3,3,3,0,7,1,2,5,0,1,3,2,1,2,2,5,4,1,3,7,4,4,4,7,4,4,3,3,4,3,1,4,3,2,4,4,3,7,3,3,6,4,4,54,0
49,2,2,6,3,4,4,5,6,4,3,4,3,6,3,6,4,2,2,3,6,2,5,3,4,3,4,1,5,4,3,3,4,3,4,2,6,2,3,3,4,3,3,5,5,3,5,3,2,4,3,2,3,3,1,6,2,6,5,1,1,2,4,3,6,4,1,4,1,5,5,3,0,5,0,6,6,2,4,1,5,3,2,0,6,4,3,2,6,2,4,3,2,6,4,4,2,6,2,4,3,3,6,4,4,5,3,4,3,3,5,4,0,4,4,5,5,4,3,2,7,2,4,7,1,12,4,6,1,5,1,3,4,2,2,5,4,3,1,7,4,4,0,6,3,6,4,5,4,2,4,2,3,4,5,4,1,3,3,2,5,5,2,3,4,4,2,9,5,3,3,7,3,7,3,2,2,3,5,7,3,5,4,3,3,4,3,3,2,4,4,4,5,4,2,6,6,3,3,4,2,55,0
5,3,4,3,2,2,3,5,1,5,6,3,2,3,4,4,7,2,4,2,1,5,6,4,3,3,3,3,3,5,0,2,4,1,5,2,1,4,2,3,3,3,2,4,3,5,4,6,6,5,9,7,1,3,3,3,7,3,7,3,4,1,2,0,2,2,3,6,4,3,3,3,6,5,4,2,2,3,2,2,5,2,2,1,5,2,10,4,3,2,5,4,7,4,2,3,3,1,4,4,1,2,3,5,5,3,4,7,4,3,2,3,3,2,4,7,3,3,4,5,3,4,2,6,3,3,4,1,1,1,1,3,6,3,1,5,3,2,4,7,4,3,6,2,5,7,4,3,1,4,1,2,2,3,2,5,3,8,2,5,7,4,1,4,5,4,3,2,2,6,6,4,1,3,4,3,5,2,3,5,10,5,3,3,3,6,2,4,4,2,4,3,5,2,3,2,5,2,6,2,1,46,0
50,1,3,6,2,5,4,4,2,2,5,2,3,4,3,4,3,4,3,1,5,4,3,2,2,1,3,2,2,0,3,9,4,6,3,7,1,8,2,2,8,4,2,2,1,5,7,2,3,1,2,5,1,5,8,5,3,7,4,3,4,1,3,2,2,4,1,3,5,2,2,1,2,5,3,3,2,3,3,7,7,3,1,0,1,2,0,4,2,3,6,4,4,3,2,3,2,6,0,4,2,4,5,6,2,4,4,2,6,1,7,5,1,2,2,3,3,5,2,3,5,1,1,3,2,2,4,6,5,2,4,5,2,1,4,5,6,4,1,4,6,0,2,2,5,8,6,5,2,4,4,3,6,5,6,9,1,5,2,1,1,2,4,6,6,1,6,5,6,6,3,3,1,1,5,2,4,4,3,3,4,6,0,2,2,3,2,5,8,2,6,2,4,2,2,5,3,3,6,2,1,48,0
51,5,2,4,6,4,2,7,1,5,6,3,2,2,2,3,4,4,7,9,2,6,4,2,8,2,4,4,3,8,4,6,4,5,4,3,4,2,1,1,2,3,4,5,2,4,5,2,4,5,3,4,3,7,2,4,9,1,9,2,4,4,4,4,1,3,6,4,5,1,2,5,2,4,5,1,2,2,5,3,1,4,5,4,5,9,1,4,2,0,2,1,4,6,4,6,5,6,5,2,5,7,5,4,5,7,2,4,2,4,7,4,2,2,8,4,2,4,4,1,2,6,2,2,3,3,4,4,2,2,5,2,3,7,3,5,4,4,4,3,6,4,3,4,5,6,6,4,3,3,3,3,6,3,3,3,6,4,4,3,6,2,2,1,4,3,4,2,5,2,2,4,1,2,3,3,3,3,4,3,5,5,2,4,6,5,4,5,4,5,3,2,1,6,3,4,0,6,5,4,7,40,0
52,2,4,2,2,1,3,5,2,3,0,2,1,3,2,5,2,5,1,0,2,3,0,3,3,11,1,3,6,3,6,4,4,2,9,3,1,6,4,2,2,4,3,3,2,3,2,3,3,2,2,2,4,4,4,7,6,3,4,5,5,3,3,4,2,2,3,3,5,4,7,4,0,2,2,0,3,2,3,3,5,4,2,0,5,3,2,4,3,7,8,2,4,3,5,4,1,3,3,4,2,4,3,0,2,3,5,4,3,4,4,1,3,4,4,3,4,3,8,6,6,2,3,3,1,3,4,3,2,4,4,2,3,7,4,5,5,0,4,3,1,2,1,3,1,6,4,3,5,2,5,7,2,3,3,2,5,5,6,3,5,4,2,6,4,1,5,4,4,3,2,1,6,6,3,4,3,4,1,5,1,1,2,3,2,6,3,6,0,0,3,5,4,4,3,3,4,4,6,6,4,51,0
53,1,6,5,3,1,7,4,2,2,4,1,6,5,6,3,7,4,1,3,6,5,3,5,6,2,3,0,3,3,6,2,3,2,2,1,1,1,3,7,4,2,3,6,2,1,3,3,4,5,3,3,6,3,4,7,4,1,3,4,4,3,0,3,3,3,1,2,3,5,2,3,3,2,3,6,9,3,5,4,3,2,4,2,5,3,2,4,5,1,4,4,5,5,4,5,7,2,5,3,3,1,4,0,5,3,3,3,6,4,2,1,3,3,4,2,2,3,5,4,0,3,8,7,3,4,5,5,2,6,4,3,4,5,3,1,3,8,1,3,3,2,4,2,4,4,3,2,2,2,6,5,7,4,2,2,2,3,4,3,2,3,2,4,5,4,5,9,4,4,3,4,5,1,4,4,4,5,5,5,3,5,1,3,3,5,5,4,3,2,3,2,2,2,5,1,5,4,5,5,3,48,0
54,1,4,0,8,4,3,5,4,2,3,6,3,6,4,1,4,0,2,7,2,5,6,2,1,1,3,6,5,1,2,5,4,4,3,0,4,1,6,2,2,3,4,1,6,1,6,4,6,5,4,5,1,8,3,2,3,3,3,3,4,3,2,2,3,8,1,7,2,5,4,1,1,4,4,3,7,1,7,3,1,4,4,6,7,3,2,2,5,5,2,2,7,5,3,2,1,3,4,10,8,2,2,1,4,6,5,2,7,5,2,3,2,0,5,3,1,2,2,0,2,2,1,4,11,2,2,3,2,5,2,2,2,3,2,2,3,2,4,5,1,1,5,2,2,2,2,1,4,4,5,4,4,5,6,1,3,6,4,3,0,6,3,6,3,2,5,3,0,0,1,5,6,5,1,2,3,5,4,0,4,7,2,4,1,3,8,5,5,6,3,3,3,2,2,5,3,7,5,2,3,56,0
55,3,1,5,1,3,2,0,2,3,6,4,3,5,5,1,6,2,4,4,5,2,5,5,5,1,4,8,3,2,5,5,5,5,1,2,4,5,1,4,2,6,7,5,3,3,2,4,3,4,3,1,5,3,6,1,4,5,6,3,5,2,6,3,7,0,4,4,2,1,3,4,2,4,1,5,2,4,1,3,6,4,4,3,3,5,5,0,2,3,5,1,3,5,3,5,3,2,3,3,4,5,2,8,1,4,3,3,2,4,2,4,7,1,5,1,3,2,2,3,7,2,1,5,4,2,8,4,5,4,6,8,4,4,6,5,5,2,2,4,7,1,3,0,5,1,2,5,1,2,3,3,10,4,4,1,5,1,5,3,7,2,4,8,4,4,4,3,3,3,3,3,3,1,3,5,0,3,2,8,4,4,2,4,3,5,4,2,7,2,1,2,1,2,3,3,1,5,7,7,5,51,0
56,5,1,2,4,8,4,1,2,2,6,4,2,7,3,4,4,3,4,2,4,3,3,4,6,6,3,7,3,1,2,7,2,4,6,3,6,3,1,5,6,2,5,4,6,4,4,2,5,3,2,1,0,2,2,2,4,4,3,4,4,6,3,4,4,2,4,6,2,2,3,5,4,3,3,2,2,1,5,4,4,1,3,6,4,1,5,1,5,3,4,1,2,0,3,3,5,7,3,5,5,0,3,4,1,4,3,2,3,5,5,2,5,3,5,5,5,3,2,3,2,4,6,6,4,3,1,1,5,5,5,6,4,3,1,2,10,4,0,5,2,3,5,5,3,4,3,2,3,5,2,0,4,6,6,6,1,4,3,3,1,5,7,5,5,3,5,4,6,4,3,2,7,1,3,3,2,2,5,7,3,3,1,1,6,1,2,4,6,6,8,5,3,3,4,2,4,3,2,4,3,58,0
57,4,4,4,1,10,4,2,3,1,0,1,2,1,7,2,3,6,2,4,5,5,2,4,2,2,3,4,5,5,4,3,3,7,1,5,5,3,2,6,5,5,8,2,3,3,6,4,3,4,4,3,2,3,3,2,1,0,6,1,2,5,4,5,4,1,1,6,2,4,5,4,1,5,3,3,2,0,3,1,5,5,1,1,4,6,1,6,2,2,5,3,4,3,5,4,1,4,4,2,4,3,1,1,3,1,2,4,4,3,4,3,3,4,4,8,3,1,3,5,8,2,4,1,5,3,4,3,3,1,2,1,7,2,2,4,3,9,2,3,3,5,2,2,1,6,3,5,5,2,3,4,1,2,2,3,3,4,3,4,2,7,5,3,0,5,4,2,0,6,7,1,3,6,4,3,7,4,0,2,3,4,2,5,1,3,3,8,3,3,3,1,3,6,3,6,5,2,6,2,4,60,0
58,3,3,1,4,1,2,6,3,2,5,2,7,6,3,3,5,4,2,3,4,2,0,1,4,6,4,6,3,5,4,5,4,3,3,7,7,2,1,0,2,1,3,6,6,7,2,1,4,6,6,8,2,6,3,6,3,2,4,4,7,9,7,6,3,3,2,6,4,8,2,5,1,2,4,1,4,3,8,6,5,1,5,1,3,4,3,3,4,1,3,3,5,4,3,3,7,3,2,4,4,0,3,4,5,6,6,3,1,3,0,5,5,2,2,0,0,0,5,5,5,6,1,3,3,2,4,2,1,2,7,6,4,1,7,5,3,1,4,5,1,4,4,4,0,5,3,2,3,3,5,4,2,4,5,4,2,1,5,3,2,1,1,3,6,5,5,6,1,1,3,3,3,3,4,4,0,5,2,1,3,5,1,3,3,3,1,5,6,2,7,2,2,4,2,4,4,8,3,1,5,41,0
59,3,2,3,4,3,2,2,6,3,5,3,6,6,4,3,3,5,2,0,2,5,2,1,2,1,6,5,3,3,6,3,3,8,3,3,2,2,6,1,6,5,0,6,5,5,4,4,3,1,3,1,3,1,4,0,1,2,4,2,6,4,4,2,2,4,4,0,5,4,1,1,2,0,5,3,2,4,1,1,2,3,2,1,7,4,5,3,6,2,5,2,5,3,5,1,8,6,7,2,4,4,7,3,4,3,2,2,4,4,3,7,1,1,2,6,3,3,4,3,6,5,3,4,2,2,2,2,2,4,4,4,1,1,6,4,4,6,3,5,3,7,6,5,1,5,2,5,3,1,2,1,3,5,2,4,1,6,0,2,2,9,4,2,5,1,9,4,3,1,2,5,3,4,0,5,3,5,2,2,5,5,2,3,4,0,1,5,6,2,1,2,3,1,2,4,2,2,0,3,4,53,0
6,4,6,4,5,3,2,4,7,2,4,0,4,1,6,4,3,2,7,2,1,9,2,6,2,4,4,6,4,4,4,3,3,7,5,2,3,2,0,5,3,3,3,2,5,2,8,4,3,3,3,0,5,2,3,2,3,2,2,0,5,3,4,3,4,7,6,4,5,6,6,2,2,3,2,4,6,3,5,5,2,4,0,5,2,4,3,4,6,4,4,4,2,3,7,3,3,4,1,5,2,4,4,1,5,4,7,3,3,1,1,3,1,4,4,7,8,1,1,5,3,4,1,2,4,4,6,5,2,3,4,5,3,2,5,4,3,6,5,2,2,8,2,4,1,2,6,2,9,5,3,4,1,4,2,3,3,3,6,1,3,4,2,6,2,2,3,2,4,2,4,6,4,5,2,5,3,6,3,4,6,0,5,1,1,2,4,2,1,4,6,0,4,5,5,4,6,5,4,5,0,41,0
60,0,7,3,5,8,6,3,4,1,1,2,7,2,1,2,3,1,8,3,0,2,3,5,6,7,6,5,4,3,4,3,2,1,5,2,6,2,2,2,3,4,0,3,2,4,5,2,5,2,1,6,4,1,2,4,6,5,3,5,1,3,4,3,5,5,4,4,3,3,3,2,6,1,4,2,4,6,1,5,4,5,2,2,6,0,4,5,4,4,8,2,0,1,3,4,4,1,5,6,0,3,3,3,1,2,5,5,5,4,4,6,3,2,4,1,4,4,2,3,2,3,4,5,2,6,4,6,3,3,4,7,8,2,2,1,2,2,4,5,1,1,6,6,1,0,2,2,4,1,3,3,2,3,3,4,4,1,2,4,3,7,4,7,4,7,2,4,4,4,3,4,5,1,5,2,6,1,5,0,4,2,8,1,7,3,5,4,3,4,4,4,4,3,5,2,3,6,4,7,7,56,0
61,1,2,2,6,4,1,3,3,3,5,5,4,4,1,4,2,1,4,3,3,2,3,2,2,4,1,3,0,1,6,6,2,4,2,4,5,3,0,9,4,4,4,2,4,2,2,4,4,5,4,8,6,4,3,0,2,1,5,2,7,7,4,2,3,3,4,0,4,3,4,4,4,6,3,3,7,4,3,5,3,1,2,6,6,6,3,4,7,6,6,1,2,3,4,4,2,3,0,2,2,3,1,1,4,5,3,2,2,3,2,4,3,2,7,2,5,0,6,3,2,4,4,2,7,3,2,1,2,3,2,3,1,3,7,5,5,5,4,4,5,3,1,2,1,3,2,1,6,6,4,4,2,1,4,3,4,2,4,1,5,4,4,7,4,7,4,5,3,6,6,3,2,4,2,3,2,4,1,3,3,5,4,5,10,2,3,6,4,0,4,3,6,3,3,3,2,4,6,1,5,48,0
62,5,1,5,3,8,3,2,5,7,2,2,7,6,4,4,2,6,0,2,5,0,9,4,4,4,6,4,2,4,1,5,3,3,2,4,5,2,2,3,4,1,5,2,4,4,3,3,3,2,4,1,3,5,2,7,2,3,5,6,5,6,2,1,2,2,4,5,2,4,7,7,4,3,4,4,3,3,13,2,5,4,1,3,5,6,7,5,3,5,5,2,3,1,5,4,2,5,2,5,1,3,3,2,3,4,1,0,2,4,2,1,2,4,4,1,2,2,3,0,2,6,1,2,5,4,2,4,0,2,8,5,3,5,3,7,5,0,3,5,2,5,1,5,6,5,3,3,2,3,5,1,0,3,1,1,4,4,2,1,5,2,6,1,3,1,3,5,6,3,3,4,3,5,2,6,5,2,5,2,5,2,4,4,4,7,2,2,3,4,3,3,5,3,4,2,9,6,1,4,3,65,0
63,2,1,2,6,7,2,6,1,4,3,2,6,4,2,2,2,1,1,5,3,1,4,4,4,3,7,1,2,3,3,3,3,5,4,3,2,4,3,2,2,5,8,8,2,1,6,4,4,6,2,2,2,5,3,2,1,4,2,3,1,2,4,5,2,7,5,6,3,1,7,4,4,6,3,2,2,4,4,3,3,6,1,5,2,7,2,4,3,6,6,1,2,2,2,2,2,3,4,4,5,6,2,2,2,0,6,3,6,4,2,5,3,2,7,3,2,6,1,3,5,6,2,5,0,5,2,5,3,5,4,3,3,2,1,4,11,6,1,3,4,4,2,7,2,5,1,6,2,3,5,1,4,3,3,6,3,7,2,4,4,2,2,2,6,4,3,3,1,6,4,2,7,4,0,6,2,2,4,3,6,3,4,3,1,8,3,2,3,4,4,3,7,9,1,4,4,1,0,5,3,65,0
64,4,7,4,2,2,1,5,3,1,5,4,1,7,3,2,2,3,4,5,2,1,5,5,8,4,2,3,4,2,6,2,1,8,2,3,5,4,1,4,6,1,4,6,1,2,3,3,6,2,7,3,2,4,7,5,3,3,3,4,4,1,1,7,1,2,2,5,3,4,2,5,2,1,3,3,3,5,7,2,2,2,3,2,3,7,3,2,6,3,7,2,2,6,6,8,3,6,0,2,2,2,1,7,3,3,3,6,1,3,3,3,4,2,4,2,1,1,6,3,4,3,3,3,4,1,0,5,4,1,6,3,2,8,2,3,2,3,2,1,5,3,3,1,4,2,3,3,2,3,4,3,2,3,2,3,3,2,5,2,3,8,5,2,4,5,4,3,2,5,2,2,4,8,3,3,4,4,5,4,4,4,4,4,0,4,3,8,6,2,3,3,4,3,7,1,3,4,3,6,5,51,0
65,2,3,5,7,2,4,3,5,4,3,3,2,4,2,1,3,4,2,1,1,2,0,1,3,4,3,4,1,1,8,1,0,2,4,4,6,5,2,5,6,2,2,3,7,0,5,3,2,4,5,5,4,3,1,3,2,2,3,3,3,6,5,3,5,10,6,3,3,5,4,1,5,3,3,4,1,3,4,4,6,2,4,5,2,6,5,3,2,5,4,5,6,3,7,1,6,3,2,4,2,3,3,3,4,2,1,7,1,6,4,4,2,4,1,0,3,3,5,7,8,4,3,2,3,4,3,4,2,3,8,2,2,3,5,6,7,5,1,13,3,1,3,5,3,1,4,2,1,3,7,4,6,4,2,4,3,0,3,5,3,3,4,3,4,3,1,5,4,1,5,2,2,7,1,2,5,6,4,2,6,2,3,5,3,5,2,4,2,2,1,2,8,4,4,2,7,8,4,4,7,48,0
66,7,1,3,4,6,4,1,2,2,6,7,0,2,7,4,2,2,6,2,1,4,1,3,1,3,3,5,0,3,1,2,5,4,3,8,0,2,1,2,1,2,4,7,5,4,2,6,4,6,5,3,3,3,3,3,1,5,3,3,5,4,3,4,3,3,1,2,3,3,4,5,4,4,7,1,4,4,1,5,2,7,5,4,3,2,0,4,1,2,3,0,4,4,6,1,3,4,5,4,2,1,4,2,1,5,5,3,6,3,5,3,7,6,6,4,3,8,5,4,6,3,6,1,5,4,3,7,2,2,5,3,1,3,2,1,6,6,4,4,6,3,5,4,0,6,2,4,3,4,3,2,1,5,1,5,1,6,3,3,5,5,5,5,4,3,6,5,3,1,4,1,3,5,3,1,2,3,5,4,2,3,2,1,5,3,1,6,1,2,3,6,2,5,3,6,3,3,8,2,4,45,0
67,2,5,2,2,4,4,10,5,3,3,3,4,6,3,7,4,7,3,4,2,3,2,6,4,1,4,5,2,5,5,2,1,2,3,6,3,8,3,3,6,7,4,4,3,2,6,3,2,5,3,6,0,4,4,3,2,3,2,3,2,5,2,6,3,3,7,2,2,3,4,6,3,2,2,3,1,3,2,3,3,5,5,5,3,2,4,2,2,1,4,3,3,2,3,3,5,0,2,1,1,2,2,5,5,4,1,6,3,3,4,3,2,0,6,3,5,3,3,4,4,8,3,5,2,2,4,0,2,3,4,1,4,4,0,5,11,3,6,2,0,4,7,4,1,4,3,3,2,4,5,5,9,3,2,5,3,2,3,4,4,4,2,2,2,3,3,3,4,5,1,4,3,3,6,3,2,6,4,3,6,3,0,3,3,3,2,8,1,5,2,7,2,3,5,4,5,2,6,3,1,56,0
68,4,4,7,3,3,5,1,1,4,5,4,1,5,3,1,3,6,3,3,2,6,4,5,2,1,1,1,2,4,4,5,3,4,3,3,3,5,7,3,3,4,3,4,3,2,3,5,1,4,1,3,1,3,4,1,3,2,0,6,4,3,4,5,3,4,6,2,3,3,7,2,9,5,6,4,5,3,4,0,4,2,6,3,5,6,7,3,2,6,2,2,2,7,2,3,6,2,0,1,4,2,3,6,2,4,1,5,3,3,4,3,4,8,5,5,4,2,7,7,1,3,3,3,4,7,2,6,4,4,7,3,5,5,5,5,2,4,7,3,3,4,3,1,4,3,1,5,2,4,7,1,3,1,5,4,1,4,3,7,8,4,1,1,2,2,0,5,6,4,2,3,3,1,6,2,3,2,0,0,4,4,0,4,4,4,2,1,4,8,3,2,7,0,3,4,1,5,5,3,1,49,0
69,4,3,2,2,6,2,6,6,3,8,4,6,2,4,6,3,1,3,6,3,1,2,6,3,1,5,5,3,5,1,3,1,2,2,8,2,3,4,3,6,9,4,4,1,2,2,6,1,3,7,2,4,2,6,3,5,4,7,5,3,3,5,3,1,3,2,6,5,7,4,6,3,6,6,1,5,6,5,5,3,3,4,5,4,1,5,2,3,4,2,4,5,3,4,6,2,7,5,4,5,5,2,2,4,3,4,1,9,2,12,3,4,2,3,4,5,1,6,2,3,1,5,1,1,4,4,2,4,8,4,2,5,3,3,2,5,1,3,3,4,2,2,6,6,4,4,2,3,5,2,5,10,2,2,4,4,2,5,4,0,0,4,4,5,6,2,3,3,5,2,9,6,3,2,1,3,2,3,5,2,2,4,2,4,2,3,5,3,4,4,1,2,3,1,2,4,5,4,4,3,57,0
7,1,5,2,7,5,1,1,3,2,4,2,7,3,3,5,5,3,3,5,2,4,4,1,1,5,4,3,6,2,4,3,3,1,3,1,0,4,4,5,5,4,3,7,1,5,4,2,3,5,3,5,4,5,4,3,2,4,4,2,3,0,8,3,4,2,3,4,1,6,4,3,9,2,2,5,1,3,2,1,3,4,9,2,7,3,4,2,5,7,3,4,6,3,4,10,1,4,4,5,4,1,3,6,6,6,3,4,2,5,1,4,4,7,3,0,3,3,3,3,5,3,2,3,2,3,2,3,3,5,7,2,4,4,3,4,5,4,5,3,1,3,4,4,5,3,5,7,2,5,3,0,2,6,3,6,2,0,8,4,1,6,6,2,5,4,6,2,6,2,3,6,4,4,4,4,2,7,5,4,4,2,0,3,4,2,3,4,2,6,2,2,5,4,4,5,5,3,2,4,7,45,0
70,4,6,3,1,4,5,3,1,2,3,1,3,10,5,3,6,1,5,1,3,4,6,2,4,3,2,2,3,7,1,6,3,5,2,3,2,3,2,5,5,3,5,2,7,0,3,3,4,3,6,4,5,3,2,1,2,6,4,1,3,4,4,8,0,3,3,7,2,9,1,2,5,2,3,3,0,3,3,10,5,3,6,2,3,6,1,3,5,1,4,2,5,2,0,3,3,4,5,3,3,5,2,6,1,3,0,2,5,2,6,2,7,2,4,2,2,4,5,2,2,7,3,3,4,1,2,5,1,2,2,3,4,2,4,4,4,2,3,1,3,4,6,4,2,2,2,4,7,1,1,9,3,2,3,7,4,2,6,6,4,7,2,7,3,2,2,2,0,2,7,2,2,1,5,1,2,3,6,4,3,2,1,5,2,4,4,6,3,5,1,2,4,2,4,8,6,5,3,2,8,51,0
71,2,3,5,5,3,2,4,2,7,2,4,6,6,3,2,3,6,2,3,6,1,2,4,2,4,7,5,1,2,2,4,3,3,4,1,3,1,2,3,4,2,3,3,5,1,3,1,3,1,6,3,2,3,5,2,4,2,5,4,8,4,2,2,4,1,6,6,4,3,4,6,5,1,2,3,3,3,3,3,2,2,6,1,2,2,4,5,3,3,5,5,3,1,3,4,1,5,5,2,3,3,8,2,3,1,4,5,7,5,1,4,4,2,1,1,2,1,3,2,2,5,3,3,0,2,5,4,3,3,3,2,7,1,6,5,2,4,2,4,6,2,1,6,2,4,5,4,2,5,1,4,2,2,3,3,6,4,5,4,3,7,3,3,4,4,4,2,4,3,4,5,1,1,3,4,4,4,3,1,4,2,3,4,4,9,3,3,2,5,3,3,7,2,4,3,4,5,3,2,2,50,0
72,4,4,1,5,1,2,5,6,7,5,6,4,4,0,2,5,6,1,3,3,3,2,2,5,3,2,4,2,2,7,3,7,3,4,5,6,2,1,3,3,5,7,7,4,2,3,2,2,1,3,4,4,2,1,4,1,7,1,7,5,0,2,3,5,1,1,1,4,8,4,1,2,1,4,4,1,6,6,0,1,5,3,3,5,5,5,5,1,5,4,6,5,2,3,6,4,3,4,5,1,6,2,1,3,5,4,3,6,6,4,6,3,4,4,2,4,8,2,5,3,5,2,1,5,0,5,2,3,5,2,3,2,1,1,5,4,5,6,2,1,4,4,3,3,5,3,2,5,2,1,1,4,3,4,5,3,3,4,6,4,5,1,3,4,4,1,4,8,2,2,1,0,3,4,6,4,9,1,4,2,2,1,7,3,4,1,2,1,0,5,2,5,2,1,7,3,7,5,6,1,56,0
73,2,3,2,4,7,0,2,4,4,2,9,2,3,5,3,4,2,0,1,1,3,5,0,1,4,4,3,2,3,1,4,2,4,5,7,3,4,1,2,3,5,1,1,8,5,5,2,1,4,3,3,4,3,3,7,6,1,9,1,5,5,4,3,4,1,6,4,2,6,2,6,6,4,3,3,4,2,6,4,3,6,2,3,4,5,4,4,8,3,2,4,1,1,6,6,5,6,5,5,1,4,4,4,2,3,6,5,1,5,4,4,4,3,9,5,3,3,5,3,1,3,3,1,5,5,5,6,2,2,1,3,4,0,0,1,3,0,1,5,1,2,7,3,3,6,7,2,6,1,3,1,2,9,5,5,2,5,2,5,2,8,3,4,4,5,1,5,3,6,1,3,6,5,6,4,3,5,2,4,2,7,4,3,7,6,4,4,3,4,3,3,2,1,6,4,6,2,3,1,4,46,0
